question_id,question_text,domain,ground_truth,question_length,question_type,question_nature,question_style,response_text,collection_date,response_length
1,What is the most common bird in the world?,General Knowledge,Chicken,42,closed-ended,general,qualitative,"The most common bird in the world is the domestic chicken (Gallus gallus domesticus). With a global population estimated to be over 25 billion, chickens are more numerous than any other bird species, primarily due to their widespread domestication for meat and egg production.",2025-05-25,276
2,"What British sitcom that aired from 1979 to 1981 in the UK, starred Penelope Keith and Peter Bowles?",General Knowledge,To the Manor Born,100,closed-ended,general,qualitative,"The British sitcom that aired from 1979 to 1981 in the UK and starred Penelope Keith and Peter Bowles is ""To the Manor Born.""",2025-05-25,125
3,"May 4, 1904 saw the US begin construction the Canal, following the creation of the state of Panama from Columbian territory due to the iron backbone and bad-assed support of which US president?",General Knowledge,Theodore Roosevelt,193,closed-ended,general,qualitative,"The construction of the Panama Canal began under the presidency of Theodore Roosevelt. He played a crucial role in supporting the creation of the state of Panama from Colombian territory, which facilitated the construction of the canal.",2025-05-25,236
4,"""In a 2007 interview, which actor 'animatedly' bemoaned """"I hate that cat! Ever since I did that cat, I disappear. It's all about the cat. It stole everything from me.""""?""",General Knowledge,Antonio Banderas,171,closed-ended,topical,qualitative,"In a 2007 interview, actor Antonio Banderas animatedly bemoaned, ""I hate that cat! Ever since I did that cat, I disappear. It's all about the cat. It stole everything from me."" He was referring to his role as the voice of Puss in Boots from the ""Shrek"" film series.",2025-05-25,265
5,In which US state are the Catskill Mountains?,General Knowledge,New York,45,closed-ended,general,qualitative,The Catskill Mountains are located in the state of New York.,2025-05-25,60
6,What was the name of Canada's first woman Prime Minister?,General Knowledge,Kim Campbell,57,closed-ended,general,qualitative,Canada's first woman Prime Minister was Kim Campbell.,2025-05-25,53
7,"Who was the former wife of war hero Leonard Cheshire who founded, in 1953, a charitable organisation with the emphasis on care homes and hospices?",General Knowledge,Sue Ryder,146,closed-ended,general,qualitative,"The former wife of war hero Leonard Cheshire who founded a charitable organization in 1953 with an emphasis on care homes and hospices was Sue Ryder. She established the Sue Ryder Foundation, which is now known as Sue Ryder, to provide care and support for people with complex needs and life-threatening conditions.",2025-05-25,315
8,Who was the first British winner of the US Women’s Open?,General Knowledge,Laura Davis,56,closed-ended,topical,qualitative,"The first British winner of the US Women’s Open was Alison Nicholas, who won the tournament in 1997.",2025-05-25,100
9,What type of beer does Homer Simpson drink?,General Knowledge,Duff,43,closed-ended,general,qualitative,Homer Simpson drinks Duff Beer.,2025-05-25,31
10,Which role is being played in a recently released film by the actor whose previous roles include Tim Canterbury in TV and Arthur Dent in film ?,General Knowledge,BILBO BAGGINS,143,closed-ended,topical,qualitative,"The actor who played Tim Canterbury in the TV series ""The Office"" and Arthur Dent in the film ""The Hitchhiker's Guide to the Galaxy"" is Martin Freeman. In the recently released film ""The Operative"" (2019), Martin Freeman plays the role of Thomas.",2025-05-25,246
11,What was the surname of the butler played by Gordon Jackson in Upstairs Downstairs?,General Knowledge,Hudson,83,closed-ended,general,qualitative,"The surname of the butler played by Gordon Jackson in ""Upstairs, Downstairs"" was Hudson.",2025-05-25,88
12,Which French phrase commonly used in English means literally 'already seen' ?,General Knowledge,DEJA VU,77,closed-ended,general,qualitative,"The French phrase ""déjà vu"" is commonly used in English and means literally ""already seen.""",2025-05-25,91
13,Tuesday marks the birthday of lat night tv host David Letterman. What broadcast channel hosts his show?,General Knowledge,CBS,103,closed-ended,topical,qualitative,"David Letterman's late-night show, ""Late Show with David Letterman,"" was broadcast on CBS.",2025-05-25,90
14,The feathers of which bird are said to bring bad luck if they are brought into the house?,General Knowledge,Peacock,89,closed-ended,general,qualitative,"The feathers of a peacock are said to bring bad luck if they are brought into the house. This belief is rooted in various superstitions and folklore, where the eye-like patterns on the feathers are thought to represent the evil eye or bring misfortune.",2025-05-25,252
15,"St Thomas's Abbey, Brno in the Czech Republic was the scene of whose path-breaking work from 1856 to 1863?",General Knowledge,Gregor Mendel,106,closed-ended,general,qualitative,"St Thomas's Abbey in Brno, Czech Republic, was the scene of Gregor Mendel's path-breaking work from 1856 to 1863. Mendel conducted experiments on pea plants in the abbey's garden, leading to the foundational principles of heredity known as Mendel's Laws of Inheritance.",2025-05-25,269
16,What was introduced by the Volstead Act?,General Knowledge,PROHIBITION IN THE USA,40,closed-ended,general,qualitative,"The Volstead Act, formally known as the National Prohibition Act, was introduced to provide for the enforcement of the 18th Amendment to the United States Constitution, which established the prohibition of alcohol. Enacted in 1919 and taking effect in 1920, the Volstead Act defined ""intoxicating liquors"" and set the legal framework for the prohibition of the manufacture, sale, and transportation of alcoholic beverages in the United States. It allowed for certain exceptions, such as the use of alcohol for medicinal and religious purposes.",2025-05-25,543
17,What word is used in betting slang for odds of five to one (5/1)?,General Knowledge,'HAND',65,closed-ended,general,qualitative,"In betting slang, odds of five to one (5/1) are often referred to as ""a fiver.""",2025-05-25,79
18,"In adventure literature, what lie in an unexplored region of Africa beyond a mountain range called Sheba's breasts and a lush green valley called Kukuanaland?",General Knowledge,Mines of King Solomon,158,closed-ended,general,qualitative,"In adventure literature, specifically in H. Rider Haggard's novel ""King Solomon's Mines,"" an unexplored region of Africa beyond a mountain range called Sheba's Breasts and a lush green valley called Kukuanaland is said to contain the legendary mines of King Solomon. These mines are rumored to be filled with vast treasures and riches.",2025-05-25,335
19,"""Rodney you plonka"" and ""This time next year we'll be millionaires"" are catchphrases from which well-known television sitcom?",General Knowledge,Only Fools and Horses,125,closed-ended,general,qualitative,"""Rodney you plonka"" and ""This time next year we'll be millionaires"" are catchphrases from the well-known television sitcom ""Only Fools and Horses.""",2025-05-25,147
20,"In medicine, if something is subcutaneous it is applied or located under which organ of the body?",General Knowledge,Skin,97,closed-ended,general,qualitative,"In medicine, if something is subcutaneous, it is applied or located under the skin.",2025-05-25,83
21,"""Complete the proverb; """"Hope for the best....""""?""",General Knowledge,But prepare for the worst,50,closed-ended,general,qualitative,"""Hope for the best, prepare for the worst.""",2025-05-25,43
22,"The Asian Tsunami or Boxing day tsunami that hit Thailand, Indonesia and many other countries happened in what year?",General Knowledge,2004,116,closed-ended,topical,qualitative,"The Asian Tsunami, also known as the Boxing Day tsunami, occurred in 2004.",2025-05-25,74
23,The youngest ever member of the Order of Merit was admitted in 1968 and is still a member. Who is he?,General Knowledge,PRINCE PHILIP or DUKE OF EDINBURGH,101,closed-ended,general,qualitative,"The youngest ever member of the Order of Merit, admitted in 1968 and still a member, is Sir David Attenborough.",2025-05-25,111
