question_id,question_text,domain,ground_truth,question_length,question_type,question_nature,question_style,response_text,collection_date,response_length
1,What is the most common bird in the world?,General Knowledge,Chicken,42,closed-ended,general,qualitative,"The House Sparrow (Passer domesticus) is the most common wild bird in the world, with an estimated global population of 1.6 billion. These small birds are found on every continent except Antarctica and have successfully adapted to living in urban environments alongside humans. They are particularly numerous in cities and towns, where they nest in buildings and feed on seeds, insects, and food scraps.",2025-05-25,403
2,"What British sitcom that aired from 1979 to 1981 in the UK, starred Penelope Keith and Peter Bowles?",General Knowledge,To the Manor Born,100,closed-ended,general,qualitative,"To The Manor Born aired on BBC1 from 1979 to 1981, starring Penelope Keith as Audrey fforbes-Hamilton and Peter Bowles as Richard DeVere. The series follows an aristocratic widow who is forced to sell her manor house to a wealthy businessman but continues living in the estate's lodge while observing and frequently meddling in the new owner's affairs.",2025-05-25,352
3,"May 4, 1904 saw the US begin construction the Canal, following the creation of the state of Panama from Columbian territory due to the iron backbone and bad-assed support of which US president?",General Knowledge,Theodore Roosevelt,193,closed-ended,general,qualitative,"Theodore Roosevelt orchestrated Panama's independence from Colombia in 1903 to secure rights to build the Panama Canal. When Colombia rejected the initial canal treaty, Roosevelt supported Panamanian revolutionaries with U.S. naval forces, preventing Colombian troops from stopping Panama's secession. Within days of Panama's declaration of independence, the U.S. recognized the new nation and signed the Hay-Bunau-Varilla Treaty, giving the U.S. control of the Canal Zone. Roosevelt's aggressive foreign policy approach, embodied in his ""speak softly and carry a big stick"" philosophy, directly enabled the Canal's construction to begin in 1904.",2025-05-25,646
4,"""In a 2007 interview, which actor 'animatedly' bemoaned """"I hate that cat! Ever since I did that cat, I disappear. It's all about the cat. It stole everything from me.""""?""",General Knowledge,Antonio Banderas,171,closed-ended,topical,qualitative,"Bill Murray made these comments about Garfield, referring to his role voicing the titular cat in the 2004 film ""Garfield: The Movie."" Murray later explained he had mistakenly agreed to the role because he thought the script was written by Joel Coen (of the Coen Brothers), when it was actually written by Joel Cohen, a different screenwriter.",2025-05-25,342
5,In which US state are the Catskill Mountains?,General Knowledge,New York,45,closed-ended,general,qualitative,"The Catskill Mountains are located in New York State, primarily in the southeastern portion of the state. They occupy parts of four counties: Delaware, Greene, Sullivan, and Ulster. The range is considered part of the larger Appalachian Mountain system and lies about 100 miles northwest of New York City.",2025-05-25,305
6,What was the name of Canada's first woman Prime Minister?,General Knowledge,Kim Campbell,57,closed-ended,general,qualitative,"Kim Campbell served as Canada's first and only female Prime Minister from June 25 to November 4, 1993. Her full name is Avril Phaedra Douglas ""Kim"" Campbell, and she became Prime Minister after Brian Mulroney's resignation, leading the Progressive Conservative Party. Her term was notably brief, lasting only 132 days before her party's defeat in the 1993 federal election.",2025-05-25,373
7,"Who was the former wife of war hero Leonard Cheshire who founded, in 1953, a charitable organisation with the emphasis on care homes and hospices?",General Knowledge,Sue Ryder,146,closed-ended,general,qualitative,"Sue Ryder (born Susan Elizabeth Ryder) was Leonard Cheshire's former wife who founded the Sue Ryder Foundation in 1953. The organization, now known as Sue Ryder Care, provides palliative and neurological care through hospices and care centers. She was also known as Baroness Ryder of Warsaw due to her humanitarian work during and after World War II. She married Leonard Cheshire in 1959, and both were known for their separate but significant charitable works - his focused on disability care through Leonard Cheshire Disability, while hers emphasized hospice and neurological care.",2025-05-25,583
8,Who was the first British winner of the US Women’s Open?,General Knowledge,Laura Davis,56,closed-ended,topical,qualitative,"Alison Nicholas won the 1997 US Women's Open at Pumpkin Ridge Golf Club in Oregon, becoming the first British winner of the tournament. She defeated Nancy Lopez by one stroke with a score of 10-under-par.",2025-05-25,204
9,What type of beer does Homer Simpson drink?,General Knowledge,Duff,43,closed-ended,general,qualitative,"Duff Beer, a fictional brand of lager that is the most popular beer in Springfield. It's produced by the Duff Brewery and comes in several varieties including regular Duff, Duff Lite, and Duff Dry, though they're all reportedly the same beer in different cans. The beer is a parody of commercial American lagers like Budweiser.",2025-05-25,327
10,Which role is being played in a recently released film by the actor whose previous roles include Tim Canterbury in TV and Arthur Dent in film ?,General Knowledge,BILBO BAGGINS,143,closed-ended,topical,qualitative,"Martin Freeman plays Bilbo Baggins in ""The Hobbit"" film series. Freeman previously played Tim Canterbury in the UK version of ""The Office"" TV series and Arthur Dent in ""The Hitchhiker's Guide to the Galaxy"" film.",2025-05-25,212
