question_id,question_text,domain,ground_truth,question_length,question_type,question_nature,question_style,response_text,collection_date,response_length,citation_present,hallucination_present,factscore,confidence_markers_count,uncertainty_markers_count
1,What is the most common bird in the world?,General Knowledge,Chicken,42,closed-ended,general,qualitative,The most common bird in the world is the domestic chicken (Gallus gallus domesticus).,2025-05-25,85,False,False,completely right,0,0
2,"What British sitcom that aired from 1979 to 1981 in the UK, starred Penelope Keith and Peter Bowles?",General Knowledge,To the Manor Born,100,closed-ended,general,qualitative,To the Manor Born,2025-05-25,17,False,False,completely right,0,0
3,"May 4, 1904 saw the US begin construction the Canal, following the creation of the state of Panama from Columbian territory due to the iron backbone and bad-assed support of which US president?",General Knowledge,Theodore Roosevelt,193,closed-ended,general,qualitative,The US president who provided iron backbone and support for the creation of the state of Panama from Columbian territory and the construction of the Canal was Theodore Roosevelt.,2025-05-25,178,False,False,completely right,0,0
4,"""In a 2007 interview, which actor 'animatedly' bemoaned """"I hate that cat! Ever since I did that cat, I disappear. It's all about the cat. It stole everything from me.""""?""",General Knowledge,Antonio Banderas,171,closed-ended,topical,qualitative,Nicolas Cage,2025-05-25,12,False,True,totally wrong,0,0
5,In which US state are the Catskill Mountains?,General Knowledge,New York,45,closed-ended,general,qualitative,New York,2025-05-25,8,False,False,completely right,0,0
6,What was the name of Canada's first woman Prime Minister?,General Knowledge,Kim Campbell,57,closed-ended,general,qualitative,Kim Campbell,2025-05-25,12,False,False,completely right,0,0
7,"Who was the former wife of war hero Leonard Cheshire who founded, in 1953, a charitable organisation with the emphasis on care homes and hospices?",General Knowledge,Sue Ryder,146,closed-ended,general,qualitative,Sue Ryder was the former wife of war hero Leonard Cheshire who founded a charitable organisation in 1953 with the emphasis on care homes and hospices.,2025-05-25,150,False,False,completely right,0,0
8,Who was the first British winner of the US Women’s Open?,General Knowledge,Laura Davis,56,closed-ended,topical,qualitative,Alison Nicholas was the first British winner of the US Women’s Open in 1997.,2025-05-25,76,False,True,somewhat inaccurate,0,0
9,What type of beer does Homer Simpson drink?,General Knowledge,Duff,43,closed-ended,general,qualitative,Homer Simpson is known for drinking Duff Beer.,2025-05-25,46,False,False,completely right,0,0
10,Which role is being played in a recently released film by the actor whose previous roles include Tim Canterbury in TV and Arthur Dent in film ?,General Knowledge,BILBO BAGGINS,143,closed-ended,topical,qualitative,The actor is playing the role of John Walker in the recently released film.,2025-05-25,75,False,True,totally wrong,0,0
11,What was the surname of the butler played by Gordon Jackson in Upstairs Downstairs?,General Knowledge,Hudson,83,closed-ended,general,qualitative,Hudson,2025-05-25,6,False,False,completely right,0,0
12,Which French phrase commonly used in English means literally 'already seen' ?,General Knowledge,DEJA VU,77,closed-ended,general,qualitative,Déjà vu,2025-05-25,7,False,False,completely right,0,0
13,Tuesday marks the birthday of lat night tv host David Letterman. What broadcast channel hosts his show?,General Knowledge,CBS,103,closed-ended,topical,qualitative,The late night tv show hosted by David Letterman aired on CBS.,2025-05-25,62,False,False,completely right,0,0
14,The feathers of which bird are said to bring bad luck if they are brought into the house?,General Knowledge,Peacock,89,closed-ended,general,qualitative,The feathers of a peacock are said to bring bad luck if they are brought into the house.,2025-05-25,88,False,False,completely right,0,0
15,"St Thomas's Abbey, Brno in the Czech Republic was the scene of whose path-breaking work from 1856 to 1863?",General Knowledge,Gregor Mendel,106,closed-ended,general,qualitative,Gregor Mendel's groundbreaking work on genetics,2025-05-25,47,False,False,completely right,0,0
16,What was introduced by the Volstead Act?,General Knowledge,PROHIBITION IN THE USA,40,closed-ended,general,qualitative,Prohibition of alcohol,2025-05-25,22,False,False,somewhat correct,0,0
17,What word is used in betting slang for odds of five to one (5/1)?,General Knowledge,'HAND',65,closed-ended,general,qualitative,The word used in betting slang for odds of five to one (5/1) is 'fiver'.,2025-05-25,72,False,False,somewhat correct,0,0
18,"In adventure literature, what lie in an unexplored region of Africa beyond a mountain range called Sheba's breasts and a lush green valley called Kukuanaland?",General Knowledge,Mines of King Solomon,158,closed-ended,general,qualitative,"The unexplored region of Africa beyond Sheba's breasts and Kukuanaland is the fictional land of King Solomon's Mines, as described in the novel by H. Rider Haggard.",2025-05-25,164,False,False,somewhat correct,0,0
19,"""Rodney you plonka"" and ""This time next year we'll be millionaires"" are catchphrases from which well-known television sitcom?",General Knowledge,Only Fools and Horses,125,closed-ended,general,qualitative,Only Fools and Horses,2025-05-25,21,False,False,completely right,0,0
20,"In medicine, if something is subcutaneous it is applied or located under which organ of the body?",General Knowledge,Skin,97,closed-ended,general,qualitative,The subcutaneous layer is located under the skin.,2025-05-25,49,False,False,completely right,0,0
21,"""Complete the proverb; """"Hope for the best....""""?""",General Knowledge,But prepare for the worst,50,closed-ended,general,qualitative,"Hope for the best, prepare for the worst.",2025-05-25,41,False,False,completely right,0,0
22,"The Asian Tsunami or Boxing day tsunami that hit Thailand, Indonesia and many other countries happened in what year?",General Knowledge,2004,116,closed-ended,topical,qualitative,"The Asian Tsunami, also known as the Boxing Day Tsunami, hit Thailand, Indonesia, and other countries on December 26, 2004.",2025-05-25,123,False,False,completely right,0,0
23,The youngest ever member of the Order of Merit was admitted in 1968 and is still a member. Who is he?,General Knowledge,PRINCE PHILIP or DUKE OF EDINBURGH,101,closed-ended,general,qualitative,"Prince Philip, Duke of Edinburgh",2025-05-25,32,False,False,somewhat correct,0,0
24,"Which French aristocrat, revolutionary, politician, born in 1740, fled with his manservant to Italy after being sentenced to death for sodomy and poisoning?",General Knowledge,"Donatien Alphonse Franciose, Marquis de Sade",156,closed-ended,general,qualitative,"The French aristocrat, revolutionary, and politician born in 1740 who fled to Italy with his manservant after being sentenced to death for sodomy and poisoning was the Marquis de Sade.",2025-05-25,184,False,False,completely right,0,0
25,Where would a dewclaw usually be found?,General Knowledge,"High up on the foot of many mammals, birds and reptiles",39,closed-ended,general,qualitative,"A dewclaw is usually found higher up on a dog's leg, slightly removed from the other toes. It is similar to a thumb in humans and is considered vestigial in many dog breeds.",2025-05-25,173,False,False,somewhat inaccurate,0,1
26,"In geometry, what name is given to a straight line from the circumference to the centre of a circle or sphere?",General Knowledge,RADIUS,110,closed-ended,general,qualitative,Radius,2025-05-25,6,False,False,completely right,0,0
27,"In 1725 Catherine the First succeeded which Russian emperor, also her husband?",General Knowledge,Peter the First,78,closed-ended,general,qualitative,Peter the Great,2025-05-25,15,False,False,somewhat correct,0,0
28,Which working-class dish gets its name from the fact that sausages containing excess water explode when cooked in high-heat?,General Knowledge,Bangers and mash,124,closed-ended,general,qualitative,Bangers and Mash,2025-05-25,16,False,False,completely right,0,0
29,"The husband of Lara Lewington, In which field is Martin Lewis a TV expert?",General Knowledge,Finance,74,closed-ended,topical,qualitative,Martin Lewis is a TV expert in the field of personal finance and consumer rights.,2025-05-25,81,False,False,completely right,0,0
30,"Raclette, Tilsit and Sbrinz are all types of which foodstuff?",General Knowledge,Cheese,61,closed-ended,general,qualitative,Cheese,2025-05-25,6,False,False,completely right,0,0
31,Who wrote the 1984 Booker Prize winning novel 'Hotel Du Lac'?,General Knowledge,Anita Brookner,61,closed-ended,general,qualitative,Anita Brookner wrote the 1984 Booker Prize winning novel 'Hotel Du Lac'.,2025-05-25,72,False,False,completely right,0,0
32,Which TV series was won by a man named Paddy Doherty on September 8th this year?,General Knowledge,CELEBRITY BIG BROTHER,80,closed-ended,topical,qualitative,Paddy Doherty won the TV series 'Celebrity Big Brother' on September 8th this year.,2025-05-25,83,False,False,completely right,0,0
33,Precisely where were the Winter Olympics of 1932 and 1980 both held?,General Knowledge,Lake Placid,68,closed-ended,general,qualitative,"The Winter Olympics of 1932 were held in Lake Placid, New York, USA. The Winter Olympics of 1980 were also held in Lake Placid, New York, USA.",2025-05-25,142,False,False,completely right,0,0
34,"In the TV sit-com 'Red Dwarf', what was the name of the ship's sentient computer?",General Knowledge,'HOLLY',81,closed-ended,general,qualitative,Holly,2025-05-25,5,False,False,completely right,0,0
35,What was the former name of Manchester airport ?,General Knowledge,RINGWAY,48,closed-ended,general,qualitative,Ringway Airport,2025-05-25,15,False,False,somewhat correct,0,0
36,"Which country shares a 530 km border with Saudi Arabia on the west, south, and southeast, a 450 km border with Oman on the southeast and northeast, and a smaller border with Qatar in the northwest?",General Knowledge,United Arab Emirates,197,closed-ended,general,qualitative,United Arab Emirates,2025-05-25,20,False,False,completely right,0,0
37,The peaceful overthrow of the government in Czechoslovakia in 1989 was known as what?,General Knowledge,The Velvet Revolution,85,closed-ended,topical,qualitative,The peaceful overthrow of the government in Czechoslovakia in 1989 was known as the Velvet Revolution.,2025-05-25,102,False,False,completely right,0,0
38,"October 27, 1858 saw the birth of what totally bad assed US president, the 26th, who spent time as a North Dakota rancher before becoming assistant Secretary of the Navy in 1899?",General Knowledge,Theodore Roosevelt,178,closed-ended,general,qualitative,"The totally bad assed US president born on October 27, 1858 was Theodore Roosevelt, the 26th president of the United States.",2025-05-25,124,False,False,completely right,0,0
39,"Theon Greyjoy, a character in the television series ‘Game of Thrones’, is played by the younger brother of which English singer?",General Knowledge,Lily Allen,128,closed-ended,general,qualitative,"Alfie Allen, who plays Theon Greyjoy in 'Game of Thrones', is the younger brother of English singer Lily Allen.",2025-05-25,111,False,False,completely right,0,0
40,What nationality was the astronomer Copernicus ?,General Knowledge,POLISH,48,closed-ended,general,qualitative,Polish,2025-05-25,6,False,False,completely right,0,0
41,Who won the 2007 Nobel Peace Prize for his environmental work including the controversial film An Inconvenient Truth?,General Knowledge,Al Gore,117,closed-ended,topical,qualitative,"Al Gore won the 2007 Nobel Peace Prize for his environmental work, including the controversial film An Inconvenient Truth.",2025-05-25,122,False,False,completely right,0,0
42,In which Canadian territory is the Klondike,General Knowledge,Yukon,43,closed-ended,general,qualitative,Yukon,2025-05-25,5,False,False,completely right,0,0
43,What was Truman Capote's last name before he was adopted by his stepfather?,General Knowledge,Persons,75,closed-ended,general,qualitative,Truman Capote's last name before he was adopted by his stepfather was Persons.,2025-05-25,78,False,False,completely right,0,0
44,In Old Possums book of practical cats what is the name of the cat who is the terror of the Thames?,General Knowledge,GROWLTIGER,98,closed-ended,general,qualitative,Macavity is the name of the cat who is the terror of the Thames in Old Possum's book of practical cats.,2025-05-25,103,False,False,somewhat inaccurate,0,0
45,"The title of what well-known piano waltz comes from the composer's specification that it must be played with both hands held sideways, little fingers down, striking the keys with a particular type motion?",General Knowledge,"""""""Chopsticks""""""",204,closed-ended,general,qualitative,"The title of the well-known piano waltz that comes from the composer's specification to be played with both hands held sideways, little fingers down, striking the keys with a particular type of motion is 'Minute Waltz' by Frédéric Chopin.",2025-05-25,238,False,False,somewhat inaccurate,0,0
46,The Italian soccer club Sampdoria plays home games in which city?,General Knowledge,GENOA,65,closed-ended,general,qualitative,Genoa,2025-05-25,5,False,False,somewhat correct,0,0
47,"Apart from an Atlantic coastline, what country is surrounded by Senegal?",General Knowledge,THE GAMBIA,72,closed-ended,general,qualitative,The country surrounded by Senegal apart from an Atlantic coastline is The Gambia.,2025-05-25,81,False,False,completely right,0,0
48,The architectural term architrave refers to a?,General Knowledge,Lintel/beam,46,closed-ended,general,qualitative,"The architectural term architrave refers to the lower part of an entablature in classical architecture, resting directly on top of the columns.",2025-05-25,143,False,False,somewhat correct,0,0
49,Which 2007 Italian drama film directed by Daniele Luchetti is based on Antonio Pennacchi's novel?,General Knowledge,My Brother Is An Only Child,97,closed-ended,general,qualitative,My Brother is an Only Child,2025-05-25,27,False,False,completely right,0,0
50,What is the first name of James bond villain Dr No?,General Knowledge,Julius,51,closed-ended,general,qualitative,Julius,2025-05-25,6,False,False,completely right,0,0
51,Eosophobia is the irrational fear of which part of the day?,General Knowledge,Dawn,59,closed-ended,general,qualitative,Eosophobia is the irrational fear of dawn or daylight.,2025-05-25,54,False,False,somewhat correct,0,0
