question_id,question_text,domain,ground_truth,question_length
1,What is the most common bird in the world?,General Knowledge,Chicken,42
2,"What British sitcom that aired from 1979 to 1981 in the UK, starred Penelope Keith and Peter Bowles?",General Knowledge,To the Manor Born,100
3,"May 4, 1904 saw the US begin construction the Canal, following the creation of the state of Panama from Columbian territory due to the iron backbone and bad-assed support of which US president?",General Knowledge,Theodore Roosevelt,193
4,"""In a 2007 interview, which actor 'animatedly' bemoaned """"I hate that cat! Ever since I did that cat, I disappear. It's all about the cat. It stole everything from me.""""?""",General Knowledge,Antonio Banderas,171
5,In which US state are the Catskill Mountains?,General Knowledge,New York,45
6,What was the name of Canada's first woman Prime Minister?,General Knowledge,Kim Campbell,57
7,"Who was the former wife of war hero Leonard Cheshire who founded, in 1953, a charitable organisation with the emphasis on care homes and hospices?",General Knowledge,Sue Ryder,146
8,Who was the first British winner of the US Women’s Open?,General Knowledge,Laura Davis,56
9,What type of beer does Homer Simpson drink?,General Knowledge,Duff,43
10,Which role is being played in a recently released film by the actor whose previous roles include Tim Canterbury in TV and Arthur Dent in film ?,General Knowledge,BILBO BAGGINS,143
11,What was the surname of the butler played by Gordon Jackson in Upstairs Downstairs?,General Knowledge,Hudson,83
12,Which French phrase commonly used in English means literally 'already seen' ?,General Knowledge,DEJA VU,77
13,Tuesday marks the birthday of lat night tv host David Letterman. What broadcast channel hosts his show?,General Knowledge,CBS,103
14,The feathers of which bird are said to bring bad luck if they are brought into the house?,General Knowledge,Peacock,89
15,"St Thomas's Abbey, Brno in the Czech Republic was the scene of whose path-breaking work from 1856 to 1863?",General Knowledge,Gregor Mendel,106
16,What was introduced by the Volstead Act?,General Knowledge,PROHIBITION IN THE USA,40
17,What word is used in betting slang for odds of five to one (5/1)?,General Knowledge,'HAND',65
18,"In adventure literature, what lie in an unexplored region of Africa beyond a mountain range called Sheba's breasts and a lush green valley called Kukuanaland?",General Knowledge,Mines of King Solomon,158
19,"""Rodney you plonka"" and ""This time next year we'll be millionaires"" are catchphrases from which well-known television sitcom?",General Knowledge,Only Fools and Horses,125
20,"In medicine, if something is subcutaneous it is applied or located under which organ of the body?",General Knowledge,Skin,97
21,"""Complete the proverb; """"Hope for the best....""""?""",General Knowledge,But prepare for the worst,50
22,"The Asian Tsunami or Boxing day tsunami that hit Thailand, Indonesia and many other countries happened in what year?",General Knowledge,2004,116
23,The youngest ever member of the Order of Merit was admitted in 1968 and is still a member. Who is he?,General Knowledge,PRINCE PHILIP or DUKE OF EDINBURGH,101
24,"Which French aristocrat, revolutionary, politician, born in 1740, fled with his manservant to Italy after being sentenced to death for sodomy and poisoning?",General Knowledge,"Donatien Alphonse Franciose, Marquis de Sade",156
25,Where would a dewclaw usually be found?,General Knowledge,"High up on the foot of many mammals, birds and reptiles",39
26,"In geometry, what name is given to a straight line from the circumference to the centre of a circle or sphere?",General Knowledge,RADIUS,110
27,"In 1725 Catherine the First succeeded which Russian emperor, also her husband?",General Knowledge,Peter the First,78
28,Which working-class dish gets its name from the fact that sausages containing excess water explode when cooked in high-heat?,General Knowledge,Bangers and mash,124
29,"The husband of Lara Lewington, In which field is Martin Lewis a TV expert?",General Knowledge,Finance,74
30,"Raclette, Tilsit and Sbrinz are all types of which foodstuff?",General Knowledge,Cheese,61
31,Who wrote the 1984 Booker Prize winning novel 'Hotel Du Lac'?,General Knowledge,Anita Brookner,61
32,Which TV series was won by a man named Paddy Doherty on September 8th this year?,General Knowledge,CELEBRITY BIG BROTHER,80
33,Precisely where were the Winter Olympics of 1932 and 1980 both held?,General Knowledge,Lake Placid,68
34,"In the TV sit-com 'Red Dwarf', what was the name of the ship's sentient computer?",General Knowledge,'HOLLY',81
35,What was the former name of Manchester airport ?,General Knowledge,RINGWAY,48
36,"Which country shares a 530 km border with Saudi Arabia on the west, south, and southeast, a 450 km border with Oman on the southeast and northeast, and a smaller border with Qatar in the northwest?",General Knowledge,United Arab Emirates,197
37,The peaceful overthrow of the government in Czechoslovakia in 1989 was known as what?,General Knowledge,The Velvet Revolution,85
38,"October 27, 1858 saw the birth of what totally bad assed US president, the 26th, who spent time as a North Dakota rancher before becoming assistant Secretary of the Navy in 1899?",General Knowledge,Theodore Roosevelt,178
39,"Theon Greyjoy, a character in the television series ‘Game of Thrones’, is played by the younger brother of which English singer?",General Knowledge,Lily Allen,128
40,What nationality was the astronomer Copernicus ?,General Knowledge,POLISH,48
41,Who won the 2007 Nobel Peace Prize for his environmental work including the controversial film An Inconvenient Truth?,General Knowledge,Al Gore,117
42,In which Canadian territory is the Klondike,General Knowledge,Yukon,43
43,What was Truman Capote's last name before he was adopted by his stepfather?,General Knowledge,Persons,75
44,In Old Possums book of practical cats what is the name of the cat who is the terror of the Thames?,General Knowledge,GROWLTIGER,98
45,"The title of what well-known piano waltz comes from the composer's specification that it must be played with both hands held sideways, little fingers down, striking the keys with a particular type motion?",General Knowledge,"""""""Chopsticks""""""",204
46,The Italian soccer club Sampdoria plays home games in which city?,General Knowledge,GENOA,65
47,"Apart from an Atlantic coastline, what country is surrounded by Senegal?",General Knowledge,THE GAMBIA,72
48,The architectural term architrave refers to a?,General Knowledge,Lintel/beam,46
49,Which 2007 Italian drama film directed by Daniele Luchetti is based on Antonio Pennacchi's novel?,General Knowledge,My Brother Is An Only Child,97
50,What is the first name of James bond villain Dr No?,General Knowledge,Julius,51
51,Eosophobia is the irrational fear of which part of the day?,General Knowledge,Dawn,59
52,What is the name given to a short handled riding stick,General Knowledge,Quirt,54
53,In 2015 artist Oscar Santillan controversially removed and exhibited the top inch of?,General Knowledge,Scafell Pike,85
54,From what illness did Mary II die in 1694?,General Knowledge,Smallpox,42
55,What was the (2011 reported) average annual salary of a UK ('county') Council Chief Executive?,General Knowledge,£186k,94
